seq,source_file,statement_from,statement_to,date,value_date,narration,reference,direction,withdrawal,deposit,amount,closing_balance,categories,is_recurring,recurring_key
11,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-06,2024-04-06,FT - CR - 00517630000490 - VEENA CYCLE S TORES,0000000000002722,Receipt,0.0,14580.0,14580.0,-115373.0,Recurring Transaction,Yes,VEENA CYCLE S TORES
12,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-07,2024-04-06,SWEEP-IN CREDIT - 50300950671168,000000000000000,Receipt,0.0,115373.0,115373.0,0.0,High Transaction; Recurring Transaction,Yes,IN CREDIT
13,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-08,2024-04-08,50200057343497-TPT-TRF EDUGUIDE OVERSEA- EDUGUIDE OVERSEAS STUDIES PVT LTD,0000000259973098,Payment,50000.0,0.0,50000.0,-50000.0,Recurring Transaction,Yes,TRF EDUGUIDE OVERSEA
14,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-09,2024-04-08,SWEEP-IN CREDIT - 50300950671168,000000000000000,Receipt,0.0,50000.0,50000.0,0.0,Recurring Transaction,Yes,IN CREDIT
15,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-09,2024-04-08,INT. ON SWCR ON-50300950671168,000000000000000,Receipt,0.0,19.0,19.0,19.0,Recurring Transaction,Yes,INT ON SWCR ON
16,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-10,2024-04-10,IMPS-410110167063-SNEHAL SAYANI-UTIB-XXX XXXXXXXX3599-SALARY,0000410110167063,Payment,22000.0,0.0,22000.0,-21981.0,Salary; Recurring Transaction,Yes,SNEHAL SAYANI
17,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-10,2024-04-10,00511930004569-TPT-SALARY-NISHA SIDDHART H SHAH NEAR VARTAK SCHOOL VASAI WEST Account Status : Regular Account Type : ASCENT CURRENT ACCOUNT (1313),0000000199389492,Payment,15000.0,0.0,15000.0,-36981.0,Salary,No,NISHA SIDDHART H SHAH NEAR VARTAK SCHOOL
18,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-10,2024-04-10,UPI-VINAY KUMAR DHAWANKA-9820656649@PAYT M-ICIC0000564-410116318359-SENT FROM PAY TM,0000410116318359,Receipt,0.0,23600.0,23600.0,-13381.0,UPI,No,VINAY KUMAR DHAWANKA
19,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-10,2024-04-10,59222320001324-TPT-FEES REFUND-VV TRAINI NG AND SUPPORT SERVICES,0000000103241898,Receipt,0.0,30000.0,30000.0,16619.0,Other,No,FEES REFUND
20,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-12,2024-04-12,IMPS-410311101890-MANTRY DIGITAL SIGNATU RE-KVBL-XXXXXXXXXXXX0371-DSC TOKEN PURCH ASED,0000410311101890,Payment,15380.0,0.0,15380.0,1239.0,Other,No,MANTRY DIGITAL SIGNATU RE
21,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-13,2024-04-13,NEFT CR-UTIB0003226-AMBIKA TRADING-HASNA NI ASSOCIATES-AXOMB10414759669,AXOMB10414759669,Receipt,0.0,15000.0,15000.0,16239.0,Recurring Transaction,Yes,AMBIKA TRADING
22,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-13,2024-04-13,NEFT CR-UTIB0003226-AMBIKA TRADING-HASNA NI ASSOCIATES-AXOMB10414836992,AXOMB10414836992,Receipt,0.0,2700.0,2700.0,18939.0,Recurring Transaction,Yes,AMBIKA TRADING
23,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-13,2024-04-13,IMPS-410417279529-RAMZAN HASNANI-CBIN-XX XXXX8422-RAJ CLOTHING FEES,0000410417279529,Receipt,0.0,30000.0,30000.0,48939.0,Recurring Transaction,Yes,RAMZAN HASNANI
24,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-16,2024-04-16,50200057343497-TPT-LOAN TRF-EDUGUIDE OVE RSEAS STUDIES PVT LTD,0000000202489308,Receipt,0.0,250000.0,250000.0,298939.0,EMI; High Transaction,No,LOAN TRF
25,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-18,2024-04-18,IMPS-410911114781-MS MASTER BATTERY SERV ICE-BACB-XXXXXXXXXXX0021-IT 750 INVERTER BATTERY PURCHASE,0000410911114781,Payment,17500.0,0.0,17500.0,281439.0,Other,No,MS MASTER BATTERY SERV ICE
26,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-18,2024-04-18,IMPS-410916176075-SHREE SIDDHIVINAYAK CO MPUTER-SVCB-XXXXXXXXXXX0516-CRUCIAL SSD 240 GB (INV NO-009),0000410916176075,Payment,2242.0,0.0,2242.0,279197.0,Recurring Transaction,Yes,SHREE SIDDHIVINAYAK CO MPUTER
27,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-19,2024-04-19,GST/BANK REFERENCE NO: R2411053209951/CI N NO: HDFC24042700497767,0240419270003382,Payment,81777.0,0.0,81777.0,197420.0,Recurring Transaction,Yes,BANK REFERENCE NO R
28,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-19,2024-04-19,NEFT CR-BACB0000004-KENNETH NICHOLAS DSO UZA-R M HASNANI AND ASSOCIATES-N11024000 2342606,N110240002342606,Receipt,0.0,17700.0,17700.0,215120.0,Recurring Transaction,Yes,KENNETH NICHOLAS DSO UZA
29,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-19,2024-04-19,NEFT CR-BARB0DBDIGA-JIGEESHA AUTO SERVIC NEAR VARTAK SCHOOL VASAI WEST Account Status : Regular Account Type : ASCENT CURRENT ACCOUNT (1313) E-R M HASNANI AND ASSOCIATE-BARBY2411016 6000,BARBY24110166000,Receipt,0.0,94400.0,94400.0,309520.0,Recurring Transaction,Yes,BARBDBDIGA
30,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-19,2024-04-19,FT - CR - 50200052497641 - HARIA AGENCY,0000000000001700,Receipt,0.0,27000.0,27000.0,336520.0,Recurring Transaction,Yes,HARIA AGENCY
31,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-21,2024-04-21,NEFT CR-IBKL0NEFT01-RAJ CLOTHING-RM HASN 00421i7409826811 ANI AND ASSOCIATE-0421I7409826811,,Receipt,0.0,28000.0,28000.0,364520.0,Other,No,IBKLNEFT
32,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-22,2024-04-22,UPI-VODAFONE IDEA LIMITE-VODAFONEIDEALIM ITED1PAYTM@HDFCBANK-HDFC0000499-41133647 8567-ZEENAT MAAM,0000411336478567,Payment,1479.0,0.0,1479.0,363041.0,UPI,No,VODAFONE IDEA LIMITE
33,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-23,2024-04-22,FD BKD FOR R M HASNANI AND ASSO 50300961 131456 -R M HASNANI AND ASSO,000000000000000,Payment,263041.0,0.0,263041.0,100000.0,FD Deposit/Withdrawal; High Transaction; Recurring Transaction,Yes,FD BKD FOR R M HASNANI AND ASSO
34,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-23,2024-04-24,CHQ DEP - MICR 8 CLEARING - MUMBAI CLEAR : RAJ HOSIERY :IDBI BANK,0000000000678305,Receipt,0.0,29500.0,29500.0,129500.0,Recurring Transaction,Yes,MICR  CLEARING
35,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-24,2024-04-25,CHQ DEP MICR 08-MUM CLG - MICR CLG - MUM : AASHIRWAD DEVELOPERS :BASSEIN CATHOLIC CO-OPERATIVE BANK LTD,0000000000100824,Receipt,0.0,200000.0,200000.0,329500.0,LIC; High Transaction; Recurring Transaction,Yes,CHQ DEP MICR
36,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-25,2024-04-25,SI HGADP0A8870473577773 MSEDCL -25/04/24,000000000000000,Payment,16020.0,0.0,16020.0,313480.0,Other,No,SI HGADPA MSEDCL
37,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-25,2024-04-25,SI HGADP0F14D0468981481 MSEDCL -25/04/24,000000000000000,Payment,10800.0,0.0,10800.0,302680.0,Other,No,SI HGADPFD MSEDCL
38,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-25,2024-04-25,IMPS-411614188649-MILIND WALAVALKAR-BACB -XXXXXXXXXXX7611-LENOVO LAPTOP QUANTITY 1,0000411614188649,Payment,20000.0,0.0,20000.0,282680.0,Other,No,MILIND WALAVALKAR
39,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-26,2024-04-26,00521130001823-TPT-ADVANCE FOR FLAT EVA- RAJESH KANKONKAR,0000000249367402,Payment,100000.0,0.0,100000.0,182680.0,High Transaction,No,ADVANCE FOR FLAT EVA
40,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-27,2024-04-27,50100346331540-TPT-CAPITAL WITHDRAWL-RAM ZAN MANSOORALI HASNANI,0000000265228177,Payment,100000.0,0.0,100000.0,82680.0,High Transaction,No,CAPITAL WITHDRAWL
41,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-29,2024-04-29,IMPS-412009180265-DINESH PANDURANG PATIL -IBKL-XXXXXXXXXXXX7542-STAMP DUTY REGIST RATION,0000412009180265,Payment,310000.0,0.0,310000.0,-227320.0,High Transaction,No,DINESH PANDURANG PATIL
42,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-29,2024-04-29,50200057343497-TPT-LOAN-EDUGUIDE OVERSEA S STUDIES PVT LTD NEAR VARTAK SCHOOL VASAI WEST Account Status : Regular Account Type : ASCENT CURRENT ACCOUNT (1313),0000001188833283,Receipt,0.0,200000.0,200000.0,-27320.0,EMI; High Transaction,No,EDUGUIDE OVERSEA S STUDIES PVT LTD NEAR 
43,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-30,2024-04-29,SWEEP-IN CREDIT - 50300961131456,000000000000000,Receipt,0.0,27320.0,27320.0,0.0,Recurring Transaction,Yes,IN CREDIT
44,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-30,2024-04-29,INT. ON SWCR ON-50300961131456,000000000000000,Receipt,0.0,10.0,10.0,10.0,Recurring Transaction,Yes,INT ON SWCR ON
45,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-04-30,2024-04-30,CHQ PAID-MICR CTS-MU-APPORVA CHS LTD,0000000000000164,Payment,2540.0,0.0,2540.0,-2530.0,Recurring Transaction,Yes,CHQ PAID
46,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-01,2024-04-30,INT. ON SWCR ON-50300961131456,000000000000000,Receipt,0.0,1.0,1.0,-2529.0,Recurring Transaction,Yes,INT ON SWCR ON
47,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-01,2024-04-30,SWEEP-IN CREDIT - 50300961131456,000000000000000,Receipt,0.0,2530.0,2530.0,1.0,Recurring Transaction,Yes,IN CREDIT
48,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-02,2024-05-02,CC 000463918XXXXXX8920 AUTOPAY SI-TAD,0000000581749749,Payment,2698.0,0.0,2698.0,-2697.0,Recurring Transaction,Yes,CC XXXXXX AUTOPAY SI
49,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-03,2024-05-02,SWEEP-IN CREDIT - 50300961131456,000000000000000,Receipt,0.0,2697.0,2697.0,0.0,Recurring Transaction,Yes,IN CREDIT
50,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-03,2024-05-02,INT. ON SWCR ON-50300961131456,000000000000000,Receipt,0.0,1.0,1.0,1.0,Recurring Transaction,Yes,INT ON SWCR ON
51,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-03,2024-05-03,NEFT CR-UTIB0000019-AM INTERNATIONAL-RM HASNANI AND ASSOCIATES-AXOMB12387933187,AXOMB12387933187,Receipt,0.0,28320.0,28320.0,28321.0,Recurring Transaction,Yes,AM INTERNATIONAL
52,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-03,2024-05-03,GANESH GAIKWAD - CHQ PAID - VASAI - MUMB,0000000000000165,Payment,21520.0,0.0,21520.0,6801.0,Recurring Transaction,Yes,GANESH GAIKWAD
53,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-03,2024-05-03,IMPS-412411185241-SHREE SIDDHIVINAYAK CO MPUTER-SVCB-XXXXXXXXXXX0516-AMC BILL PAY MENT- INV NO. 008,0000412411185241,Payment,3540.0,0.0,3540.0,3261.0,Recurring Transaction,Yes,SHREE SIDDHIVINAYAK CO MPUTER
54,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-04,2024-05-04,NEFT CR-ZCBL0000006-AZEEM MOOSABHAI HUDD A-RM HASNANI ASSOCIATES-000000468812,0000000000468812,Receipt,0.0,2360.0,2360.0,5621.0,Other,No,AZEEM MOOSABHAI HUDD A
55,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-05,2024-05-05,ACH D- ARKA FINCAP LTD-NP281714837031413,0000003718243728,Payment,235573.0,0.0,235573.0,-229952.0,High Transaction; Recurring Transaction,Yes,ARKA FINCAP LTD
56,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-06,2024-05-05,INT. ON SWCR ON-50300961131456,000000000000000,Receipt,0.0,163.0,163.0,-229789.0,Recurring Transaction,Yes,INT ON SWCR ON
57,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-06,2024-05-05,SWEEP-IN CREDIT - 50300961131456,000000000000000,Receipt,0.0,229952.0,229952.0,163.0,High Transaction; Recurring Transaction,Yes,IN CREDIT
58,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-06,2024-05-06,SI HGADP112CC0497221799 AIRTEL -06/05/24,000000000000000,Payment,3189.54,0.0,3189.54,-3026.54,Other,No,SI HGADPCC AIRTEL
59,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-07,2024-05-06,SWEEP-IN CREDIT - 50300961131456,000000000000000,Receipt,0.0,542.0,542.0,-2484.54,Recurring Transaction,Yes,IN CREDIT
60,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-07,2024-05-06,SWEEP-IN CREDIT - 50300950671168,000000000000000,Receipt,0.0,2485.0,2485.0,0.46,Recurring Transaction,Yes,IN CREDIT
61,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-07,2024-05-06,INT. ON SWCR ON-50300950671168,000000000000000,Receipt,0.0,6.0,6.0,6.46,Recurring Transaction,Yes,INT ON SWCR ON
62,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-07,2024-05-07,IMPS-412814180260-SAI MILK CENTER-VVSB-X XXXXXXXXXX1891-PAYMENT FOR APRIL 24,0000412814180260,Payment,2688.0,0.0,2688.0,-2681.54,Recurring Transaction,Yes,SAI MILK CENTER
63,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-07,2024-05-07,50200059366630-TPT-AMBIKA TR.TDS AMT-JAL PA RAITHATHA AND CO,0000000148198678,Payment,1500.0,0.0,1500.0,-4181.54,Other,No,AMBIKA TRTDS AMT
64,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-07,2024-05-08,CHQ DEP MICR 08-MUM CLG - MICR CLG - MUM : POOJA STATIONARY :SHAMRAO VITHAL COOP BANK LTD NEAR VARTAK SCHOOL VASAI WEST Account Status : Regular Account Type : ASCENT CURRENT ACCOUNT (1313),0000000000000550,Receipt,0.0,27000.0,27000.0,22818.46,Recurring Transaction,Yes,CHQ DEP MICR
65,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-07,2024-05-08,CHQ DEP MICR 08-MUM CLG - MICR CLG - MUM : POOJA ENTERPRISES :SHAMRAO VITHAL COOP BANK LTD,0000000000004038,Receipt,0.0,27000.0,27000.0,49818.46,Recurring Transaction,Yes,CHQ DEP MICR
66,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-07,2024-05-08,CHQ DEP MICR 08-MUM CLG - MICR CLG - MUM : ROHIT CONSTRUCTION CO :INDIAN BANK,0000000000397648,Receipt,0.0,17700.0,17700.0,67518.46,Recurring Transaction,Yes,CHQ DEP MICR
67,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-08,2024-05-07,INT. ON SWCR ON-50300950671168,000000000000000,Receipt,0.0,7.0,7.0,67525.46,Recurring Transaction,Yes,INT ON SWCR ON
68,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-08,2024-05-07,SWEEP-IN CREDIT - 50300950671168,000000000000000,Receipt,0.0,2682.0,2682.0,70207.46,Recurring Transaction,Yes,IN CREDIT
69,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-08,2024-05-07,SWEEP-IN CREDIT - 50300950671168,000000000000000,Receipt,0.0,1493.0,1493.0,71700.46,Recurring Transaction,Yes,IN CREDIT
70,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-08,2024-05-07,INT. ON SWCR ON-50300950671168,000000000000000,Receipt,0.0,4.0,4.0,71704.46,Recurring Transaction,Yes,INT ON SWCR ON
71,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-10,2024-05-10,00511930004569-TPT-SALARY-NISHA SIDDHART H SHAH,0000000496405033,Payment,15000.0,0.0,15000.0,56704.46,Salary; Recurring Transaction,Yes,NISHA SIDDHART H SHAH
72,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-10,2024-05-10,IMPS-413109128302-RAMZAN HASNANI-CBIN-XX XXXX8422-ARCH DEVELOPERS TDS,0000413109128302,Payment,10000.0,0.0,10000.0,46704.46,Recurring Transaction,Yes,RAMZAN HASNANI
73,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-10,2024-05-10,IMPS-413109129291-RAMZAN HASNANI-CBIN-XX XXXX8422-SAR CONSULTING SERVICES TDS,0000413109129291,Payment,6000.0,0.0,6000.0,40704.46,Recurring Transaction,Yes,RAMZAN HASNANI
74,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-10,2024-05-10,IMPS-413114187214-RAMZAN HASNANI-CBIN-XX XXXX8422-PLAN B CONSULTING TDS,0000413114187214,Payment,13000.0,0.0,13000.0,27704.46,Recurring Transaction,Yes,RAMZAN HASNANI
75,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-10,2024-05-10,IMPS-413114188035-RAMZAN HASNANI-CBIN-XX XXXX8422-NEW GIRNAR TYRE TDS,0000413114188035,Payment,3000.0,0.0,3000.0,24704.46,Recurring Transaction,Yes,RAMZAN HASNANI
76,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-13,2024-05-13,NEFT CR-UTIB0003226-AMBIKA TRADING-HASNA NI ASSOCIATES-AXOMB13490634501,AXOMB13490634501,Receipt,0.0,17700.0,17700.0,42404.46,Recurring Transaction,Yes,AMBIKA TRADING
77,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-14,2024-05-15,CHQ DEP MICR 08-MUM CLG - MICR CLG - MUM : SAVITRI GENERAL STORES :BASSEIN CATHOL IC CO-OPERATIVE BANK LTD,0000000000100059,Receipt,0.0,64900.0,64900.0,107304.46,LIC; Recurring Transaction,Yes,CHQ DEP MICR
78,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-15,2024-05-15,HGADP0BAFE0669149595-VIPOSTPAID-BILLPAY- 50200026202917,0000000118792342,Payment,1598.44,0.0,1598.44,105706.02,Other,No,HGADPBAFE
79,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-16,2024-05-16,11000219957515/ATOMWINMANSOFTWAREIN,0000241370294021,Payment,48840.0,0.0,48840.0,56866.02,Other,No,ATOMWINMANSOFTWAREIN
80,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-17,2024-05-17,GST/BANK REFERENCE NO: R2413854092396/CI N NO: HDFC24052700352601,0240517270049379,Payment,67120.0,0.0,67120.0,-10253.98,Recurring Transaction,Yes,BANK REFERENCE NO R
81,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-18,2024-05-17,SWEEP-IN CREDIT - 50300950671168,000000000000000,Receipt,0.0,7282.16,7282.16,-2971.82,Recurring Transaction,Yes,IN CREDIT
82,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-18,2024-05-17,INT. ON SWCR ON-50300950671168,000000000000000,Receipt,0.0,32.0,32.0,-2939.82,Recurring Transaction,Yes,INT ON SWCR ON
83,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-18,2024-05-17,INT. ON SWCR ON-50300913359071 NEAR VARTAK SCHOOL VASAI WEST Account Status : Regular Account Type : ASCENT CURRENT ACCOUNT (1313),000000000000000,Receipt,0.0,23.0,23.0,-2916.82,Recurring Transaction,Yes,INT ON SWCR ON
84,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-18,2024-05-17,SWEEP-IN CREDIT - 50300913359071,000000000000000,Receipt,0.0,2139.69,2139.69,-777.13,Recurring Transaction,Yes,IN CREDIT
85,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-18,2024-05-17,SWEEP-IN CREDIT - 50300819860249,000000000000000,Receipt,0.0,778.0,778.0,0.87,Recurring Transaction,Yes,IN CREDIT
86,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-18,2024-05-17,INT. ON SWCR ON-50300819860249,000000000000000,Receipt,0.0,9.11,9.11,9.98,Recurring Transaction,Yes,INT ON SWCR ON
87,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-18,2024-05-18,FT - CR - 00517630000490 - VEENA CYCLE S TORES,0000000000002768,Receipt,0.0,14850.0,14850.0,14859.98,Recurring Transaction,Yes,VEENA CYCLE S TORES
88,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-20,2024-05-20,IMPS-414120682133-SALIM K JESANI-DCBL-XX XXXXXXXX6658-RAMJAN HASNANI C A,0000414120682133,Receipt,0.0,20000.0,20000.0,34859.98,Recurring Transaction,Yes,SALIM K JESANI
89,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-22,2024-05-22,CHQ PAID-MICR CTS-MU-APPORVA CHS LTD,0000000000000166,Payment,2540.0,0.0,2540.0,32319.98,Recurring Transaction,Yes,CHQ PAID
90,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-22,2024-05-22,FT - CR - 50200081406410 - SAMARTH ENTER PRISE,0000000000000033,Receipt,0.0,70800.0,70800.0,103119.98,Other,No,SAMARTH ENTER PRISE
91,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-24,2024-05-24,SI HGADP012AF0695357414 MSEDCL -24/05/24,000000000000000,Payment,15220.0,0.0,15220.0,87899.98,Other,No,SI HGADPAF MSEDCL
92,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-24,2024-05-24,SI HGADP0A85B0695666199 MSEDCL -24/05/24,000000000000000,Payment,23450.0,0.0,23450.0,64449.98,Other,No,SI HGADPAB MSEDCL
93,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-25,2024-05-25,IMPS-414610121224-POOJA STATIONERY-SVCB- XXXXXXXXXXX0115-COPIER A/4 PAPER- 5 PKT,0000414610121224,Payment,1230.0,0.0,1230.0,63219.98,Recurring Transaction,Yes,POOJA STATIONERY
94,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-29,2024-05-29,50100439594391-TPT-LOAN SHANEEZA-SHANEEZ A R HASNANI,0000000573635013,Receipt,0.0,1750000.0,1750000.0,1813219.98,EMI; High Transaction,No,LOAN SHANEEZA
95,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-30,2024-05-30,50100360987933-TPT-ZEENAT CAPITAL INITIA TED-ZEENAT RAMZAN HASNANI,0000000576466594,Receipt,0.0,2500000.0,2500000.0,4313219.98,High Transaction,No,ZEENAT CAPITAL INITIA TED
96,Bank State fy 24-25.pdf,2024-04-01,2025-03-31,2024-05-30,2024-05-31,CHQ DEP MICR 08-MUM CLG - MICR CLG - MUM : MAKNOJIA INAYAT RAHIM :DEVELOPMENT CRE DIT BANK LTD,0000000000812014,Receipt,0.0,11800.0,11800.0,4325019.98,Recurring Transaction,Yes,CHQ DEP MICR
